"AuthorDate","ID","treatname","treatID","N","time_wk","y","se","arm","narm","fupcount","fups"
"Gottesdiener 2002",1,"Placebo_0",1,60,0,7.062,0.222167472781301,1,6,1,5
"Gottesdiener 2002",1,"Etoricoxib_10",6,114,0,7.009,0.1605567531753,2,6,1,5
"Gottesdiener 2002",1,"Etoricoxib_30",7,102,0,6.756,0.169607033648865,3,6,1,5
"Gottesdiener 2002",1,"Etoricoxib_5",8,117,0,6.873,0.158410421316763,4,6,1,5
"Gottesdiener 2002",1,"Etoricoxib_60",9,112,0,6.686,0.161931979323571,5,6,1,5
"Gottesdiener 2002",1,"Etoricoxib_90",10,112,0,6.854,0.162028154956109,6,6,1,5
"Gottesdiener 2002",1,"Placebo_0",1,60,1,6.362,0.226717523759405,1,6,2,5
"Gottesdiener 2002",1,"Etoricoxib_10",6,114,1,5.599,0.162767074119291,2,6,2,5
"Gottesdiener 2002",1,"Etoricoxib_30",7,102,1,4.796,0.172270518519949,3,6,2,5
"Gottesdiener 2002",1,"Etoricoxib_5",8,117,1,5.823,0.160828660967787,4,6,2,5
"Gottesdiener 2002",1,"Etoricoxib_60",9,112,1,3.866,0.164339086026525,5,6,2,5
"Gottesdiener 2002",1,"Etoricoxib_90",10,112,1,4.134,0.164376932023332,6,6,2,5
"Gottesdiener 2002",1,"Placebo_0",1,60,2,6.262,0.232474372929781,1,6,3,5
"Gottesdiener 2002",1,"Etoricoxib_10",6,114,2,5.079,0.164771390022759,2,6,3,5
"Gottesdiener 2002",1,"Etoricoxib_30",7,102,2,4.416,0.174320535120769,3,6,3,5
"Gottesdiener 2002",1,"Etoricoxib_5",8,117,2,5.343,0.162608767361743,4,6,3,5
"Gottesdiener 2002",1,"Etoricoxib_60",9,112,2,3.616,0.166505665716349,5,6,3,5
"Gottesdiener 2002",1,"Etoricoxib_90",10,112,2,4.084,0.166374887669048,6,6,3,5
"Gottesdiener 2002",1,"Placebo_0",1,60,4,6.052,0.240122584965984,1,6,4,5
"Gottesdiener 2002",1,"Etoricoxib_10",6,114,4,5.239,0.168918785347991,2,6,4,5
"Gottesdiener 2002",1,"Etoricoxib_30",7,102,4,4.476,0.17798345293024,3,6,4,5
"Gottesdiener 2002",1,"Etoricoxib_5",8,117,4,5.203,0.166205767069358,4,6,4,5
"Gottesdiener 2002",1,"Etoricoxib_60",9,112,4,3.576,0.170279614848335,5,6,4,5
"Gottesdiener 2002",1,"Etoricoxib_90",10,112,4,3.914,0.169729693768737,6,6,4,5
"Gottesdiener 2002",1,"Placebo_0",1,60,6,5.902,0.247814100493077,1,6,5,5
"Gottesdiener 2002",1,"Etoricoxib_10",6,114,6,5.219,0.171993884900998,2,6,5,5
"Gottesdiener 2002",1,"Etoricoxib_30",7,102,6,4.106,0.182096300280985,3,6,5,5
"Gottesdiener 2002",1,"Etoricoxib_5",8,117,6,4.823,0.169299768558779,4,6,5,5
"Gottesdiener 2002",1,"Etoricoxib_60",9,112,6,3.406,0.173435172041771,5,6,5,5
"Gottesdiener 2002",1,"Etoricoxib_90",10,112,6,3.794,0.172886156021761,6,6,5,5
"Schnitzer 2005_2",2,"Placebo_0",1,104,0,6.6,0.165718134191766,1,6,1,5
"Schnitzer 2005_2",2,"Naproxcinod_1500",15,114,0,6.7,0.156409830534143,2,6,1,5
"Schnitzer 2005_2",2,"Naproxcinod_250",16,104,0,6.7,0.183368586354202,3,6,1,5
"Schnitzer 2005_2",2,"Naproxcinod_750",17,107,0,6.6,0.171112358561082,4,6,1,5
"Schnitzer 2005_2",2,"Naproxen_1000",18,117,0,6.5,0.159938556578274,5,6,1,5
